Subject,Number,Course_Title,Primary_Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,avg_prof_gpa
CHBE,478,Bioenergy Technology,"Zhao, Huimin",1,15,1,4,12,2,2,12,0,0,6,1,0,1,2.77
CHBE,494,Comp Methods in Chem Engr,"Rao, Christopher V",2,46,9,2,6,2,0,2,0,0,0,0,0,0,3.75
CHBE,494,Polymer Sci & Engineering,"Guironnet, Damien S",1,11,5,0,12,12,0,8,4,0,1,0,0,1,2.87
CHBE,494,Special Topics,"Guironnet, Damien S",1,7,6,6,11,1,4,3,1,0,2,0,0,0,3.06
CHBE,494,Special Topics,"Harley, Brendan A",0,4,15,3,0,0,0,0,0,0,0,0,0,0,3.68
CHBE,494,Special Topics,"Kong, Hyun Joon",12,24,14,12,0,0,0,0,0,0,0,0,0,0,3.8
CHBE,494,Special Topics,"Rao, Christopher V",5,5,1,2,5,1,0,2,0,0,0,0,0,1,3.27
CHBE,494,Special Topics,"Schroeder, Charles M",4,37,5,7,29,6,1,7,0,0,2,0,0,0,3.34
CHBE,494,Special Topics,"Yang, Hong",4,4,6,9,8,9,4,1,0,0,0,0,0,0,3.19
CHBE,521,Applied Mathematics in CHBE,"Higdon, Jonathan J",1,26,6,0,24,1,0,0,0,0,0,0,0,0,3.53
CHBE,521,Applied Mathematics in CHBE,"Schroeder, Charles M",5,37,4,3,21,3,0,1,0,0,0,0,1,0,3.54
CHBE,522,Fluid Dynamics,"Higdon, Jonathan J",1,13,5,1,10,1,0,0,0,0,0,0,0,0,3.56
CHBE,522,Fluid Dynamics,"Schroeder, Charles M",1,13,0,2,4,1,0,0,0,0,0,0,0,0,3.68
CHBE,523,Heat and Mass Transfer,"Higdon, Jonathan J",3,40,5,15,29,4,0,0,0,0,0,0,0,0,3.52
CHBE,525,Stat Thermo Chem Eng,"Sing, Charles E",0,7,5,3,5,0,0,0,0,0,0,0,1,0,3.4
CHBE,551,Chemical Kinetics & Catalysis,"Flaherty, David W",1,26,3,4,17,5,0,0,0,0,0,0,0,0,3.51
CHBE,571,Bioinformatics,"Zhao, Sihai D",56,23,4,2,4,0,3,1,0,0,0,0,1,1,3.77
CHBE,594,Statistical Thermodynamics,"Sing, Charles E",1,13,7,6,4,0,0,0,0,0,0,0,0,0,3.67
CHEM,101,Introductory Chemistry,"Adams, Gretchen",25,430,212,387,460,356,277,317,128,52,88,27,49,12,2.8
CHEM,101,Introductory Chemistry,"Andino Martinez, Jose G",4,7,10,19,28,24,25,31,12,13,15,5,17,3,2.2
CHEM,101,Introductory Chemistry,"Decoste, Donald J",1,17,15,24,35,35,22,20,14,20,13,8,21,12,2.2
CHEM,101,Introductory Chemistry,"Esbenshade, Jennifer L",3,42,23,42,46,35,29,34,16,6,11,8,12,0,2.68
CHEM,101,Introductory Chemistry,"Huynh, Mioy T",1,57,20,31,47,36,33,33,14,8,8,2,17,4,2.68
CHEM,101,Introductory Chemistry,"Lindquist, Beth A",2,43,21,42,48,39,34,38,23,7,8,9,5,3,2.68
